timestamp,open,high,low,close,adj close,volume,div amt
2007-07-31,121.6500,133.9600,118.6700,120.4200,45.4844,48895600,0.0000
2007-06-29,120.3900,125.6400,113.6000,120.7400,45.6052,52169400,0.4400
2007-05-31,109.7400,123.4000,107.5100,120.4700,45.3392,71950400,0.0000
2007-04-30,107.6200,115.8000,103.1700,109.4000,41.1729,45919300,0.0000
2007-03-30,106.5000,115.5800,103.5400,108.6400,40.8869,61669400,0.4400
2007-02-28,102.5200,116.5000,100.4400,108.2900,40.5859,49373400,0.0000
2007-01-31,95.6900,100.9500,90.2300,100.2800,37.5839,43107400,0.0000
2006-12-29,95.9900,98.5100,93.5500,95.0700,35.6312,35430700,0.4400
2006-11-30,85.1700,101.4000,83.2568,96.0000,35.8164,67865100,0.0000
2006-10-31,83.7000,90.4700,83.0100,85.1300,31.7610,56376700,0.0000
2006-09-29,78.2000,84.9700,76.8600,83.9100,31.3058,56843700,0.3900
2006-08-31,72.5800,78.5000,66.9000,78.1000,29.0030,66207800,0.0000
2006-07-31,84.3000,84.4600,69.7900,72.5700,26.9494,52067400,0.0000
2006-06-30,86.0500,88.0000,76.3864,83.4900,31.0046,52646200,0.3900
2006-05-31,88.7800,91.9800,81.5100,85.6000,31.6313,55478000,0.0000
2006-04-28,79.5000,89.0000,79.1500,87.7800,32.4368,40944200,0.0000
2006-03-31,77.0600,80.0000,73.6800,79.0500,29.2109,43549300,0.3900
2006-02-28,71.8500,79.0000,69.8100,76.2700,28.0459,39900000,0.0000
2006-01-31,68.0100,72.6000,67.6100,71.7600,26.3875,27804200,0.0000
2005-12-30,69.9100,71.0000,67.6800,68.1100,25.0453,29009900,0.3900
2005-11-30,60.6800,70.1000,60.4000,69.3500,25.3579,41865700,0.0000
2005-10-31,61.2000,63.2500,56.9900,60.6800,22.1877,38303600,0.0000
2005-09-30,65.4600,66.2400,59.8100,61.2000,22.3778,43372700,0.3100
2005-08-31,73.5400,73.8500,63.1400,65.3800,23.7850,57661600,0.0000
2005-07-29,65.5600,73.9800,65.4000,73.5300,26.7499,35659200,0.0000
2005-06-30,65.7000,69.4000,64.1800,65.4900,23.8250,33901400,0.3100
2005-05-31,62.5400,66.5900,58.7000,66.1500,23.9531,42789200,0.0000
2005-04-29,67.6100,67.7600,61.0100,62.5400,22.6459,40300900,0.0000
2005-03-31,70.9800,72.4900,65.2100,67.1300,24.3080,43370800,0.3100
2005-02-28,69.5200,71.6800,65.3900,71.1100,25.6291,44360200,0.0000
2005-01-31,74.4100,74.4100,65.2000,69.4300,25.0236,35497300,0.0000
2004-12-31,71.7700,74.7300,68.2500,74.4000,26.8148,35787400,0.2800
2004-11-30,61.5500,73.4500,61.4700,71.7300,25.7551,54766300,0.0000
2004-10-29,64.5500,65.9500,56.7230,59.7800,21.4644,48203700,0.0000
2004-09-30,63.2700,65.6500,61.2900,64.5500,23.1771,30342000,0.2800
2004-08-31,62.5600,63.6600,57.2200,63.2700,22.6173,40786400,0.0000
2004-07-30,69.9900,69.9900,60.6000,62.8100,22.4529,39519500,0.0000
2004-06-30,65.6000,70.4900,65.4500,70.1400,25.0732,29868100,0.2800
2004-05-28,68.5000,69.6400,62.0000,65.7000,23.3891,41884600,0.0000
2004-04-30,69.4000,74.9300,67.1400,68.0400,24.2221,39817100,0.0000
2004-03-31,65.0500,71.0500,61.8100,69.3100,24.6742,40426400,0.2800
2004-02-27,62.6000,67.8000,60.0000,64.2300,22.7745,39141400,0.0000
2004-01-30,64.9500,67.1900,61.4800,62.6000,22.1965,36575300,0.0000
2003-12-31,61.4800,67.4100,60.3300,65.0500,23.0652,31926200,0.2200
2003-11-28,60.5300,63.7900,59.2000,61.2300,21.6370,27253900,0.0000
2003-10-31,53.3100,60.7500,53.3100,60.6200,21.4214,36302800,0.0000
2003-09-30,56.5800,56.9000,51.8400,53.3100,18.8382,29624600,0.2200
2003-08-29,50.7000,58.5500,48.2500,56.5100,19.8853,49426900,0.0000
2003-07-31,45.6400,51.0000,44.2300,50.7800,17.8690,39060700,0.0000
2003-06-30,44.0000,48.7000,44.0000,45.7000,16.0814,27447900,0.2200
2003-05-30,44.0300,45.5000,42.6120,43.6700,15.2939,34656900,0.0000
2003-04-30,39.2600,44.4400,38.8200,44.0300,15.4199,28403200,0.0000
2003-03-31,41.5000,43.8000,37.5600,39.2600,13.7494,34884200,0.2200
2003-02-28,42.2000,43.7200,40.0100,41.3800,14.4123,24853300,0.0000
2003-01-31,46.0000,47.6000,40.8000,42.2000,14.6979,30869900,0.0000
2002-12-31,51.6000,51.6000,45.0400,45.8500,15.9692,30095300,0.2200
2002-11-29,46.3200,51.5800,45.9800,51.1500,17.7304,34441700,0.0000
2002-10-31,45.8500,49.2500,41.7000,46.3900,16.0804,39497900,0.0000
2002-09-30,45.9000,48.5000,43.5200,45.4500,15.7545,32628800,0.2200
2002-08-30,42.0600,47.9900,39.5000,45.9200,15.8422,41710500,0.0000
2002-07-31,47.8900,49.1800,37.5000,42.0200,14.4967,43600900,0.0000
2002-06-28,46.9000,47.9400,42.2900,47.9000,16.5252,28323800,0.2200
2002-05-31,44.4000,48.4000,42.0900,47.0000,16.1376,29498900,0.0000
2002-04-30,45.8200,47.2000,41.6300,44.7600,15.3685,23751200,0.0000
2002-03-28,48.1000,49.9800,43.8000,45.5500,15.6397,26562900,0.2200
2002-02-28,44.4000,49.1400,41.1000,47.9300,16.3752,33814700,0.0000
2002-01-31,44.3500,45.1500,41.2400,43.9700,15.0222,24177100,0.0000
2001-12-31,40.7300,44.3000,39.9500,43.6600,14.9163,22967700,0.2200
2001-11-30,37.0000,42.2500,36.6000,39.9900,13.5946,22044800,0.0000
2001-10-31,37.4000,42.1000,36.7000,36.9900,12.5747,23159300,0.0000
2001-09-28,43.2000,44.1300,33.5000,37.6100,12.7855,25086800,0.2200
2001-08-31,42.0500,45.0000,40.1200,43.1700,14.5879,25651900,0.0000
2001-07-31,37.5000,42.8000,36.0400,41.9500,14.1756,28228300,0.0000
2001-06-29,37.1500,39.9500,36.4100,37.8500,12.7902,19285400,0.2200
2001-05-31,41.0000,41.7500,36.1100,37.3600,12.5519,20435400,0.0000
2001-04-30,36.4000,41.7500,34.4500,41.0700,13.7984,20715400,0.0000
2001-03-30,40.0000,45.9600,35.8500,36.3400,12.2092,34915500,0.2200
2001-02-28,42.9100,43.4000,38.7000,40.7000,13.5940,18274300,0.0000
2001-01-31,45.5000,66.7500,38.3800,42.9200,14.3355,21763500,0.0000
2000-12-29,40.5600,47.1300,39.5000,45.8100,15.3008,19957300,0.2200
2000-11-30,36.8800,41.1300,35.3100,40.6900,13.5268,18486800,0.0000
2000-10-31,32.4400,37.1900,31.6300,36.8100,12.2369,18705700,0.0000
2000-09-29,33.1300,34.8100,30.6900,33.2500,11.0535,18972800,0.2200
2000-08-31,38.6900,38.9400,32.1300,32.9400,10.8748,33961100,0.2100
2000-07-31,37.0600,41.3800,36.8100,38.5600,12.6488,15336500,0.0000
